Arist(s) Name,Track Name,Album Name,Length,SpotifyID,ISRC
Ryan Castro; Feid , Monastery , Monastery , 00:03:09 , 1JpzJfxjHGFUyTHXLZidok , USUG12106000
Whitney Houston , I Wanna Dance with Somebody (Who Loves Me) , Whitney , 00:04:51 , 2tUBqZG2AbRi7Q0BIrVrEj , USAR18700121
Ozuna; Boza , Apretaito , Apretaito , 00:03:19 , 0cW5cXANjlv8hgLAQwdvgE , QM4TX2254250
The Weeknd , Out of Time , Dawn FM (Alternate World) , 00:03:34 , 5pzEL5TSvnT36z8fnMuyJL , USUG12106689
Calmsound , Rain Sounds: 2 Hour Relaxing Rain Shower , Relaxing Nature Sounds: 24 Hours of Exquisite Nature Sounds for Deep Sleep, Study, Meditation and Mindfulness , 02:00:00 , 6NufQkyw8ZFG3p7IRFLZuI , TCACL1654257
DJ Nelson; Jay Wheeler; Sammy Baby; Alejandro Armes , Loco Por Verte (feat. Alejandro Armes) , Loco Por Verte (feat. Alejandro Armes) , 00:03:16 , 4Iadfy32JjWlj91718Aa5p , USUYG1422105
JFab & Paola Fabre , Traiganme Alcohol , Pa' Que Te Duela , 00:03:54 , 483stYH6hNRad4b5qeyI9K , TCADU1896651
Fred De Palma; Justin Quiles , ROMANCE , ROMANCE , 00:03:00 , 2tkQXP7XlPbtNKj99NepLa , ITKE92200001
Mora , badtrip :( , MICRODOSIS , 00:03:11 , 3t2ANh6j5JnTCDkVRBsukB , QM4TX2252941
Mora , 2010 , MICRODOSIS , 00:02:51 , 6XHBJ1LSOcVINYXAAd6KIH , QM4TX2252942
Mora; Jhay Cortez , MEMORIAS , MICRODOSIS , 00:03:48 , 2hLXUbsOU9cDb9RFva9FYr , QM4TX2252943
Mora , ROBERT DE NIRO , MICRODOSIS , 00:02:54 , 3cR23eAZcjukbKtb9knlL4 , QM4TX2252944
Mora , PECADO , MICRODOSIS , 00:02:51 , 4tw2afU1W4m0hgaL7XySKO , QM4TX2252945
Mora , LINDOR , MICRODOSIS , 00:02:24 , 3mEoWn2r5tobVKgV0UP4Ck , QM4TX2252946
Mora; Sech , TUS LÁGRIMAS , MICRODOSIS , 00:02:54 , 30W8VKHrAZmHzObnwAoc1u , QM4TX2252947
Mora , ESCALOFRÍOS , MICRODOSIS , 00:02:18 , 5CVMsPYtSJ3l7UxYiI2lt7 , QM4TX2252948
